,show_id,type,title,cast,release_year,rating,duration,listed_in,new_country,first_cast,main_listed_in
0,s1,TV Show,3%,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",2020,TV-MA,4 Seasons,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Brazil,João Miguel,International TV Shows
1,s2,Movie,7:19,"Demián Bichir, Héctor Bonilla, Oscar Serrano, Azalia Ortiz, Octavio Michel, Carmen Beato",2016,TV-MA,93 min,"Dramas, International Movies",Mexico,Demián Bichir,Dramas
2,s3,Movie,23:59,"Tedd Chan, Stella Chung, Henley Hii, Lawrence Koh, Tommy Kuan, Josh Lai, Mark Lee, Susan Leong, Benjamin Lim",2011,R,78 min,"Horror Movies, International Movies",Singapore,Tedd Chan,Horror Movies
3,s4,Movie,9,"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",2009,PG-13,80 min,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",United States,Elijah Wood,Action & Adventure
4,s5,Movie,21,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo, Liza Lapira, Jacob Pitts, Laurence Fishburne, Jack McGee, Josh Gad, Sam Golzari, Helen Carey, Jack Gilpin",2008,PG-13,123 min,Dramas,United States,Jim Sturgess,Dramas
5,s6,TV Show,46,"Erdal Beşikçioğlu, Yasemin Allen, Melis Birkan, Saygın Soysal, Berkan Şal, Metin Belgin, Ayça Eren, Selin Uludoğan, Özay Fecht, Suna Yıldızoğlu",2016,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",Turkey,Erdal Beşikçioğlu,International TV Shows
6,s7,Movie,122,"Amina Khalil, Ahmed Dawood, Tarek Lotfy, Ahmed El Fishawy, Mahmoud Hijazi, Jihane Khalil, Asmaa Galal, Tara Emad",2019,TV-MA,95 min,"Horror Movies, International Movies",Egypt,Amina Khalil,Horror Movies
7,s8,Movie,187,"Samuel L. Jackson, John Heard, Kelly Rowan, Clifton Collins Jr., Tony Plana",1997,R,119 min,Dramas,United States,Samuel L. Jackson,Dramas
8,s9,Movie,706,"Divya Dutta, Atul Kulkarni, Mohan Agashe, Anupam Shyam, Raayo S. Bakhirta, Yashvit Sancheti, Greeva Kansara, Archan Trivedi, Rajiv Pathak",2019,TV-14,118 min,"Horror Movies, International Movies",India,Divya Dutta,Horror Movies
9,s10,Movie,1920,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",2008,TV-MA,143 min,"Horror Movies, International Movies, Thrillers",India,Rajneesh Duggal,Horror Movies
